Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05월 26일, 삼성,6회말,임창민,3 고승민,5 (2-2),좌익수 방면 1루타,"2사 1,2루 1:5","2사 1,2루 1:6",0.32,0.509,1,97.40%,0.023
05월 26일, 삼성,3회말,원태인,3 고승민,7 (3-2),4구,2사 1루 1:1,"2사 1,2루 1:1",0.92,0.242,0.266,54.80%,0.022
05월 16일, KT,8회초,김민,2 고승민,4 (2-1),유격수 땅볼실책 출루,1사 1루 2:0,"1사 1,2루 2:0",0.65,0.552,0.448,11.50%,0.018
05월 04일, 삼성,5회초,레예스,2 고승민,4 (2-1),중견수 방면 1루타,2사 1:2,2사 1루 1:2,0.57,0.112,0.118,67.80%,0.018
03월 27일, KIA,6회초,네일,2 고승민,1 (0-0),좌중간 홈런,1사 0:6,1사 1:6,0.15,0.273,1,96.50%,0.016
03월 27일, KIA,4회초,네일,2 고승민,5 (3-1),1루수 포구실책 출루,무사 0:6,무사 1루 0:6,0.34,0.531,0.415,93.80%,0.015
05월 16일, KT,3회초,쿠에바스,2 고승민,,1루주자 고승민 : 2루 도루,"1사 1,3루 2:0","1사 2,3루 2:0",1.46,1.262,0.34,21.70%,0.015
04월 30일, 키움,8회말,문성현,6 고승민,5 (3-1),좌익수 방면 1루타,무사 3루 9:3,무사 1루 9:4,0.34,1.517,0.453,3.60%,0.015
05월 22일, KIA,3회말,윤영철,3 고승민,4 (1-2),중견수 방면 1루타,2사 0:0,2사 1루 0:0,0.47,0.116,0.121,52.60%,0.014
03월 24일, SSG,8회초,노경은,2 고승민,1 (0-0),사구,1사 1루 0:5,"1사 1,2루 0:5",0.32,0.531,0.443,97.00%,0.013
05월 26일, 삼성,1회말,원태인,3 고승민,1 (0-0),좌익수 방면 1루타,2사 1:0,2사 1루 1:0,0.42,0.118,0.124,41.80%,0.013
05월 29일, 한화,1회초,황준서,3 고승민,5 (3-1),4구,2사 0:0,2사 1루 0:0,0.4,0.119,0.124,52.60%,0.012
05월 02일, 키움,5회말,김인범,6 고승민,2 (1-0),우익수 방면 1루타,2사 4:5,2사 1루 4:5,0.42,0.111,0.119,68.50%,0.012
04월 26일, NC,9회초,이용찬,2 고승민,7 (1-2),좌익수 방면 2루타,1사 0:4,1사 2루 0:4,0.17,0.275,0.493,98.40%,0.011
05월 26일, 삼성,1회말,원태인,3 고승민,,1루주자 고승민 : 폭투로 2루 진루,2사 1루 1:0,2사 2루 1:0,0.83,0.242,0.148,42.80%,0.01
03월 23일, SSG,1회초,김광현,2 고승민,7 (3-2),1루주자 고승민 : 2루 도루,1사 1루 0:0,2사 2루 0:0,0.79,0.221,0.159,51.60%,0.01
05월 22일, KIA,5회말,김도현,3 고승민,5 (3-1),4구,1사 3루 0:2,"1사 1,3루 0:2",0.97,1.018,0.235,85.90%,0.009
03월 27일, KIA,4회초,네일,2 고승민,,1루주자 고승민 : 2루 도루,무사 1루 0:6,무사 2루 0:6,0.62,0.946,0.31,93.20%,0.006
05월 09일, 한화,7회말,장지수,2 고승민,7 (3-2),4구,1사 5:10,1사 1루 5:10,0.04,0.282,0.264,98.60%,0.001
05월 09일, 한화,7회말,장지수,2 고승민,6 (2-2),1루주자 고승민 : 2루 도루,1사 1루 5:10,2사 2루 5:10,0.05,0.23,0.162,98.60%,0.001
05월 31일, NC,5회말,송명기,3 고승민,2 (1-0),우익수 방면 1루타,"1사 1,2루 1:11","1사 1,3루 1:12",0.02,0.994,1.275,99.90%,0.001
05월 31일, NC,3회말,최성영,3 고승민,4 (3-0),4구,2사 2루 1:9,"2사 1,2루 1:9",0.07,0.393,0.119,98.60%,0
05월 04일, 삼성,9회초,육선엽,2 고승민,4 (1-2),좌익수 방면 1루타,2사 1루 9:2,"2사 1,3루 9:2",0.01,0.23,0.343,0.10%,0
05월 26일, 삼성,8회말,홍원표,3 고승민,4 (3-0),4구,"무사 2,3루 1:7",무사 만루 1:7,0.01,2.292,0.297,99.90%,0
05월 09일, 한화,8회말,장지수,2 고승민,5 (3-1),4구,"무사 1,2루 5:14",무사 만루 5:14,0,1.666,0.81,100.00%,0
06월 02일, NC,8회말,전사민,3 고승민,5 (2-2),루킹 삼진,무사 3루 4:12,1사 3루 4:12,0,1.517,-0.482,100.00%,0
05월 31일, NC,7회말,임정호,3 고승민,2 (0-1),유격수 방면 1루타,2사 1:13,2사 1루 1:13,0,0.119,0.125,100.00%,0
03월 30일, NC,8회말,김재열,2 고승민,1 (0-0),투수 땅볼 아웃,1사 8:0,2사 8:0,0.02,0.276,-0.168,0.10%,-0.001
05월 17일, 두산,9회초,이교훈,3 고승민,1 (0-0),중견수 플라이 아웃,2사 1루 5:0,이닝종료 5:0,0.02,0.238,-0.238,0.80%,-0.001
05월 30일, 한화,7회초,박상원,3 고승민,3 (0-2),2루수 땅볼 아웃,무사 0:9,1사 0:9,0.03,0.567,-0.27,99.90%,-0.001
05월 23일, KIA,8회말,김민재,3 고승민,5 (1-2),루킹 삼진,"1사 1,2루 4:9","2사 1,2루 4:9",0.04,0.99,-0.484,99.50%,-0.001
05월 10일, LG,8회말,정우영,2 고승민,2 (0-1),2루수 땅볼 아웃,무사 9:1,1사 9:1,0.04,0.553,-0.269,0.10%,-0.001
