Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
07월 06일, 롯데,3회말,반즈,3 노시환,3 (2-0),좌익수 뒤 홈런,2사 2:1,2사 2:2,0.49,0.099,1,51.20%,0.125
04월 02일, 키움,8회초,원종현,3 노시환,,2루주자 채은성 : 폭투로 3루 진루,"무사 2,3루 3:4",무사 3루 4:4,3.33,2.057,0.537,28.60%,0.124
04월 14일, KT,5회초,이채호,3 노시환,3 (3-0),4구,무사 만루 1:3,무사 만루 2:3,3.29,2.393,1,40.40%,0.122
04월 08일, SSG,9회말,노경은,3 노시환,5 (2-2),중견수 방면 2루타,1사 5:5,1사 2루 5:5,1.8,0.266,0.484,69.80%,0.118
06월 14일, 롯데,2회초,스트레일리,3 노시환,2 (0-1),좌중간 홈런,1사 1루 3:0,1사 5:0,0.71,0.53,1.736,11.20%,0.105
08월 17일, NC,3회초,신민혁,3 노시환,4 (2-1),중견수 방면 2루타,1사 2루 1:3,1사 2루 2:3,1.35,0.75,1,59.30%,0.104
08월 15일, NC,1회초,태너,3 노시환,2 (1-0),좌익수 뒤 홈런,2사 0:0,2사 1:0,0.4,0.099,1,43.60%,0.102
08월 09일, KT,1회초,엄상백,3 노시환,4 (1-2),좌중간 홈런,2사 0:0,2사 1:0,0.4,0.099,1,43.60%,0.102
04월 26일, 롯데,1회초,스트레일리,3 노시환,3 (1-1),좌익수 뒤 홈런,2사 0:0,2사 1:0,0.4,0.099,1,43.60%,0.102
09월 09일, 키움,2회초,김동혁,3 노시환,1 (0-0),좌익수 방면 1루타,"2사 2,3루 3:0",2사 1루 5:0,1.19,0.634,1.581,11.30%,0.099
08월 26일, KIA,3회초,양현종,3 노시환,1 (0-0),중견수 방면 1루타,2사 2루 1:0,2사 1루 2:0,1.15,0.373,0.842,30.50%,0.096
04월 28일, NC,8회말,김시훈,3 노시환,5 (3-1),4구,"무사 1,2루 6:2",무사 만루 6:2,2.09,1.623,0.77,22.00%,0.095
06월 16일, 키움,8회말,김재웅,3 노시환,4 (3-0),4구,1사 1루 2:1,"1사 1,2루 2:1",3.34,0.53,0.447,40.40%,0.094
06월 01일, 키움,1회말,후라도,5 노시환,2 (0-1),우익수 방면 1루타,"2사 1,3루 0:0","2사 1,2루 0:1",1.74,0.536,0.948,64.20%,0.093
04월 29일, NC,9회말,이용찬,3 노시환,4 (2-1),중견수 방면 1루타,무사 3:1,무사 1루 3:1,1.83,0.523,0.417,18.30%,0.092
04월 26일, 롯데,6회초,한현희,3 노시환,3 (1-1),좌익수 방면 1루타,무사 1루 1:2,"무사 1,2루 1:2",2.4,0.94,0.683,51.30%,0.09
07월 25일, 키움,4회초,장재영,3 노시환,4 (2-1),우익수 뒤 홈런,무사 0:3,무사 1:3,0.88,0.523,1,73.30%,0.085
08월 12일, 두산,7회말,김명신,3 노시환,5 (3-1),중견수 방면 2루타,"2사 1,2루 1:3",2사 2루 1:5,0.78,0.484,1.889,97.00%,0.084
04월 04일, 삼성,1회초,원태인,3 노시환,3 (2-0),중견수 방면 2루타,1사 1루 0:0,"1사 2,3루 0:0",1.15,0.53,1.048,41.50%,0.083
05월 13일, SSG,1회초,송영진,3 노시환,6 (1-2),중견수 방면 2루타,무사 2루 1:0,무사 2루 2:0,1.09,1.249,1,26.50%,0.083
09월 10일, 키움,4회초,박승주,3 노시환,3 (1-1),중견수 방면 3루타,"무사 1,2루 5:2",무사 3루 7:2,0.96,1.623,1.971,5.10%,0.083
08월 15일, NC,11회초,이용찬,3 노시환,7 (3-2),4구,무사 3:3,무사 1루 3:3,2.32,0.523,0.417,41.80%,0.082
04월 11일, KIA,10회초,정해영,3 노시환,6 (2-2),좌익수 방면 1루타,무사 4:4,무사 1루 4:4,2.32,0.523,0.417,41.80%,0.082
04월 29일, NC,6회말,김진호,3 노시환,2 (1-0),좌익수 방면 1루타,2사 2루 3:0,2사 1루 3:1,1.13,0.373,0.842,21.60%,0.08
04월 15일, KT,6회초,이채호,3 노시환,4 (1-2),우익수 방면 1루타,"2사 2,3루 4:1",2사 1루 6:1,0.94,0.634,1.581,5.00%,0.08
04월 23일, LG,8회말,정우영,3 노시환,2 (1-0),유격수 방면 내야 안타,무사 6:4,무사 1루 6:4,1.71,0.523,0.417,24.10%,0.078
04월 19일, 두산,3회말,김동주,3 노시환,5 (2-2),우익수 방면 1루타,1사 1루 2:1,"1사 1,3루 2:1",1.43,0.53,0.728,51.50%,0.078
05월 10일, 삼성,6회말,원태인,3 노시환,5 (2-2),좌익수 뒤 홈런,2사 0:2,2사 0:3,0.26,0.099,1,90.10%,0.075
09월 07일, SSG,4회말,엘리아스,3 노시환,2 (0-1),중견수 방면 2루타,무사 0:0,무사 2루 0:0,1.07,0.523,0.726,63.40%,0.074
09월 06일, SSG,10회말,이로운,3 노시환,3 (0-2),3루수 방면 내야 안타,무사 5:5,무사 1루 5:5,2.26,0.523,0.417,71.10%,0.074
04월 21일, LG,8회말,이정용,3 노시환,2 (1-0),좌익수 방면 1루타,"1사 2,3루 4:0",1사 1루 4:2,1.56,1.578,0.952,17.20%,0.071
06월 02일, 삼성,3회말,뷰캐넌,5 노시환,6 (3-2),우익수 방면 2루타,2사 2루 5:1,2사 2루 5:2,0.83,0.373,1,21.30%,0.069
05월 03일, 두산,7회초,정철원,3 노시환,5 (2-2),중견수 방면 1루타,1사 3루 2:1,1사 1루 3:1,1.66,0.979,0.551,18.00%,0.065
04월 14일, KT,8회초,김태오,3 노시환,4 (2-1),중견수 방면 2루타,무사 7:6,무사 2루 7:6,0.9,0.523,0.726,18.80%,0.064
09월 12일, 두산,3회초,곽빈,3 노시환,8 (3-2),4구,"1사 1,2루 0:3",1사 만루 0:3,1.95,0.977,0.688,69.60%,0.063
10월 09일, NC,3회초,신민혁,3 노시환,4 (1-2),우익수 방면 1루타,1사 1루 3:2,"1사 1,3루 3:2",1.14,0.53,0.728,32.10%,0.063
08월 06일, KIA,5회초,산체스,4 노시환,4 (1-2),중견수 방면 1루타,1사 3루 2:1,1사 1루 3:1,1.55,0.979,0.551,24.40%,0.062
08월 17일, NC,7회초,류진욱,3 노시환,10 (2-2),좌익수 방면 1루타,무사 3루 5:5,무사 1루 6:5,1.61,1.595,0.346,26.70%,0.061
06월 16일, 키움,6회말,안우진,3 노시환,2 (0-1),좌익수 방면 1루타,1사 1루 2:0,"1사 1,2루 2:0",1.85,0.53,0.447,32.00%,0.06
09월 08일, 키움,10회초,하영민,3 노시환,3 (2-0),좌익수 방면 1루타,1사 5:5,1사 1루 5:5,1.8,0.266,0.264,50.00%,0.06
04월 14일, KT,10회초,김재윤,3 노시환,6 (3-2),4구,1사 7:7,1사 1루 7:7,1.8,0.266,0.264,50.00%,0.06
10월 16일, 롯데,1회말,심재민,3 노시환,4 (1-2),우익수 방면 1루타,1사 1루 0:0,"1사 1,2루 0:0",0.62,0.266,0.711,58.50%,0.059
05월 13일, SSG,6회초,문승원,3 노시환,3 (2-0),중견수 방면 2루타,무사 4:7,무사 2루 4:7,0.92,0.523,0.726,80.70%,0.059
04월 28일, NC,6회말,김진호,3 노시환,8 (3-2),4구,무사 4:2,무사 1루 4:2,1.38,0.523,0.417,31.40%,0.059
06월 21일, KIA,5회말,김유신,3 노시환,1 (0-0),좌익수 방면 1루타,무사 2루 3:4,"무사 1,3루 3:4",1.1,1.249,0.561,82.70%,0.057
04월 18일, 두산,7회말,최원준,3 노시환,5 (1-2),중견수 방면 1루타,무사 0:0,무사 1루 0:0,1.51,0.523,0.417,64.40%,0.056
06월 09일, LG,9회말,고우석,3 노시환,2 (1-0),좌익수 방면 1루타,1사 5:5,1사 1루 5:5,1.8,0.266,0.264,63.50%,0.055
10월 10일, NC,6회초,페디,3 노시환,1 (0-0),중견수 방면 2루타,1사 0:2,1사 2루 0:2,0.85,0.266,0.484,76.00%,0.054
04월 04일, 삼성,9회초,오승환,3 노시환,2 (1-0),우익수 뒤 홈런,1사 5:7,1사 6:7,0.95,0.266,1,91.10%,0.054
04월 18일, 두산,7회말,최원준,3 노시환,,1루주자 노시환 : 포일로 2루 진루,무사 1루 0:0,무사 2루 0:0,2.33,0.94,0.309,69.70%,0.053
09월 22일, 키움,7회말,문성현,3 노시환,4 (2-1),우중간 홈런,2사 2루 6:1,2사 6:3,0.34,0.373,1.726,7.90%,0.052
10월 15일, 롯데,6회말,나균안,3 노시환,6 (2-2),3루수 방면 내야 안타,무사 2:2,무사 1루 2:2,1.32,0.523,0.417,62.60%,0.051
09월 06일, SSG,3회말,김광현,3 노시환,5 (2-2),우익수 방면 1루타,1사 2루 3:0,"1사 1,3루 3:0",1.26,0.75,0.508,29.80%,0.051
07월 29일, SSG,8회초,노경은,3 노시환,5 (2-2),우중간 홈런,1사 2:5,1사 3:5,0.54,0.266,1,90.30%,0.05
09월 01일, LG,6회초,이정용,3 노시환,3 (1-1),중견수 방면 1루타,무사 1루 0:4,"무사 1,2루 0:4",1.18,0.94,0.683,84.20%,0.05
05월 02일, 두산,6회초,알칸타라,3 노시환,1 (0-0),사구,"2사 1,2루 0:1",2사 만루 0:1,2.73,0.484,0.46,62.30%,0.05
07월 08일, SSG,8회말,노경은,3 노시환,,1루주자 김태연 : 폭투로 2루 진루,1사 만루 9:5,"1사 2,3루 9:6",3.02,1.665,0.913,18.90%,0.05
04월 09일, SSG,7회말,최민준,3 노시환,2 (0-1),중견수 방면 1루타,무사 3:0,무사 1루 3:0,1.07,0.523,0.417,17.30%,0.049
06월 09일, LG,6회말,임찬규,3 노시환,1 (0-0),좌익수 방면 1루타,1사 1루 3:0,"1사 1,2루 3:0",1.4,0.53,0.447,21.00%,0.049
04월 07일, SSG,4회말,박종훈,3 노시환,1 (0-0),좌익수 방면 1루타,무사 1:0,무사 1루 1:0,1.19,0.523,0.417,47.40%,0.049
05월 12일, SSG,9회초,임준섭,3 노시환,7 (3-2),좌중간 홈런,2사 4:2,2사 5:2,0.16,0.099,1,3.90%,0.048
05월 17일, 롯데,10회말,구승민,2 노시환,7 (3-2),4구,2사 1루 1:1,"2사 1,2루 1:1",2.3,0.215,0.269,61.20%,0.048
04월 19일, 두산,6회말,박치국,3 노시환,3 (0-2),3루수 방면 내야 안타,무사 5:2,무사 1루 5:2,1.05,0.523,0.417,20.50%,0.047
04월 09일, SSG,9회말,노경은,3 노시환,5 (3-1),4구,무사 3:0,무사 1루 3:0,0.91,0.523,0.417,8.70%,0.046
05월 20일, LG,7회초,박명근,3 노시환,6 (3-2),4구,"2사 1,2루 1:1",2사 만루 1:1,2.93,0.484,0.46,46.70%,0.046
06월 21일, KIA,3회말,김유신,3 노시환,9 (3-2),4구,"무사 1,2루 1:3",무사 만루 1:3,1.18,1.623,0.77,87.30%,0.045
04월 01일, 키움,4회초,안우진,5 노시환,3 (0-2),좌익수 방면 1루타,무사 0:2,무사 1루 0:2,1.04,0.523,0.417,68.90%,0.044
07월 08일, SSG,9회말,서진용,3 노시환,8 (3-2),4구,2사 2루 9:7,"2사 1,2루 9:7",1.65,0.373,0.111,9.00%,0.043
05월 14일, SSG,3회초,김광현,3 노시환,7 (3-2),4구,1사 1루 0:1,"1사 1,2루 0:1",1.39,0.53,0.447,56.80%,0.043
04월 08일, SSG,3회말,김광현,3 노시환,1 (0-0),중견수 방면 2루타,무사 0:2,무사 2루 0:2,0.61,0.523,0.726,81.00%,0.043
