Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05월 16일, SSG,4회초,김광현,4 김영웅,5 (3-1),4구,무사 0:2,무사 1루 0:2,1.04,0.559,0.423,68.90%,0.044
06월 01일, 한화,4회말,조동욱,5 김영웅,5 (3-1),4구,무사 3:3,무사 1루 3:3,1.07,0.567,0.418,60.20%,0.042
04월 13일, NC,4회말,하트,6 김영웅,5 (2-2),우익수 방면 1루타,1사 1루 1:1,"1사 1,2루 1:1",1.43,0.551,0.443,60.50%,0.042
04월 10일, 롯데,8회초,김상수,6 김영웅,2 (0-1),중견수 방면 1루타,무사 4:7,무사 1루 4:7,0.88,0.558,0.423,88.90%,0.042
04월 18일, 두산,3회말,곽빈,5 김영웅,1 (0-0),우익수 뒤 홈런,1사 0:4,1사 0:5,0.22,0.276,1,93.00%,0.04
04월 02일, 키움,3회말,김선기,8 김영웅,6 (3-2),4구,무사 0:0,무사 1루 0:0,0.99,0.54,0.42,59.50%,0.04
04월 21일, 한화,4회초,산체스,5 김영웅,3 (2-0),우익수 방면 1루타,1사 1루 0:3,"1사 1,2루 0:3",1.15,0.54,0.436,77.60%,0.039
05월 12일, NC,6회초,이재학,4 김영웅,3 (1-1),우익수 방면 1루타,1사 2:2,1사 1루 2:2,0.98,0.287,0.259,49.70%,0.037
04월 05일, KIA,5회초,크로우,7 김영웅,4 (3-0),4구,1사 0:1,1사 1루 0:1,0.91,0.283,0.263,63.70%,0.036
04월 24일, LG,6회말,켈리,6 김영웅,3 (0-2),중견수 방면 2루타,"무사 1,2루 0:3","무사 2,3루 0:4",0.53,1.627,1.56,97.70%,0.036
03월 29일, SSG,2회말,김광현,9 김영웅,4 (3-0),4구,"2사 1,2루 4:1",2사 만루 4:1,1.59,0.484,0.444,27.60%,0.033
04월 05일, KIA,7회초,이형범,7 김영웅,4 (2-1),중견수 방면 2루타,1사 1루 0:5,"1사 2,3루 0:5",0.44,0.546,1.07,93.60%,0.033
05월 01일, 두산,2회초,브랜든,6 김영웅,7 (3-2),4구,무사 1:0,무사 1루 1:0,0.82,0.548,0.421,36.20%,0.033
05월 30일, 키움,2회말,이종민,5 김영웅,6 (2-2),좌익수 방면 1루타,무사 0:1,무사 1루 0:1,0.77,0.566,0.421,68.90%,0.031
04월 27일, 키움,4회초,후라도,6 김영웅,5 (1-2),중견수 방면 1루타,1사 0:0,1사 1루 0:0,0.78,0.283,0.262,49.70%,0.03
05월 31일, 한화,5회말,박상원,5 김영웅,5 (3-1),4구,2사 1루 5:4,"2사 1,2루 5:4",1.26,0.245,0.269,40.30%,0.03
05월 24일, 롯데,6회초,구승민,4 김영웅,7 (3-2),4구,"2사 1,2루 5:4",2사 만루 5:4,1.84,0.508,0.418,31.50%,0.03
06월 01일, 한화,5회말,조동욱,5 김영웅,2 (0-1),좌익수 희생플라이 아웃,"1사 1,3루 4:4",2사 1루 4:5,2.49,1.267,-0.024,68.50%,0.029
03월 26일, LG,3회초,켈리,9 김영웅,1 (0-0),우익수 방면 1루타,1사 0:1,1사 1루 0:1,0.73,0.272,0.262,61.10%,0.029
05월 08일, KIA,11회말,정해영,5 김영웅,5 (3-1),4구,2사 2:2,2사 1루 2:2,1.38,0.112,0.118,56.40%,0.029
05월 23일, KT,8회말,김민,4 김영웅,4 (1-2),1루수 방면 내야 안타,무사 6:2,무사 1루 6:2,0.6,0.56,0.422,7.10%,0.028
05월 08일, KIA,7회말,곽도규,5 김영웅,3 (1-1),투수 송구실책 출루,무사 0:1,무사 1루 0:1,0.75,0.551,0.422,81.90%,0.028
05월 03일, 롯데,7회말,한현희,5 김영웅,6 (3-2),4구,2사 6:5,2사 1루 6:5,0.94,0.112,0.118,30.40%,0.028
05월 02일, 두산,8회초,박정수,7 김영웅,5 (3-1),중견수 방면 1루타,2사 1루 2:1,"2사 1,3루 2:1",0.88,0.226,0.348,25.20%,0.027
03월 24일, KT,2회초,엄상백,9 김영웅,10 (3-2),4구,무사 2:0,무사 1루 2:0,0.68,0.529,0.417,27.20%,0.027
05월 30일, 키움,2회말,이종민,5 김영웅,,2루주자 김영웅 : 보크로 3루 진루,1사 2루 0:1,1사 3루 0:1,1.09,0.785,0.242,70.10%,0.027
05월 26일, 롯데,1회초,반즈,4 김영웅,4 (1-2),우익수 방면 1루타,2사 1루 0:0,"2사 1,3루 0:0",0.79,0.242,0.323,50.00%,0.026
05월 16일, SSG,4회초,김광현,4 김영웅,,1루주자 김영웅 : 2루 도루,무사 1루 0:2,무사 2루 0:2,1.79,0.981,0.309,66.40%,0.025
05월 01일, 두산,2회초,브랜든,6 김영웅,,1루주자 김영웅 : 2루 도루,무사 1루 1:0,무사 2루 1:0,1.33,0.97,0.316,33.80%,0.024
04월 05일, KIA,2회초,크로우,7 김영웅,10 (3-2),중견수 방면 2루타,2사 0:1,2사 2루 0:1,0.42,0.111,0.279,62.30%,0.023
04월 30일, 두산,6회초,곽빈,5 김영웅,4 (3-0),4구,"2사 2,3루 0:2",2사 만루 0:2,2.8,0.608,0.327,74.20%,0.023
05월 03일, 롯데,7회말,최준용,5 김영웅,,1루주자 김영웅 : 2루 도루,2사 1루 6:5,2사 2루 6:5,1.83,0.23,0.162,32.60%,0.023
03월 29일, SSG,5회말,김광현,9 김영웅,5 (3-1),4구,1사 5:1,1사 1루 5:1,0.5,0.274,0.259,12.00%,0.022
05월 22일, KT,1회말,쿠에바스,4 김영웅,6 (3-2),좌익수 희생플라이 아웃,1사 3루 0:1,2사 0:2,1.21,1.018,0.099,70.90%,0.02
05월 17일, 한화,6회말,황준서,4 김영웅,1 (0-0),좌익수 방면 1루타,무사 2:4,무사 1루 2:4,0.5,0.559,0.418,86.80%,0.019
04월 11일, 롯데,6회초,이인복,6 김영웅,7 (3-2),우익수 방면 1루타,1사 2:0,1사 1루 2:0,0.49,0.29,0.262,21.60%,0.018
04월 06일, KIA,5회초,윤영철,5 김영웅,7 (3-2),4구,2사 2:3,2사 1루 2:3,0.57,0.113,0.117,67.80%,0.018
04월 13일, NC,6회말,하트,6 김영웅,,1루주자 김영웅 : 폭투로 2루 진루,2사 1루 1:1,2사 2루 1:1,1.27,0.238,0.155,55.30%,0.018
04월 28일, 키움,5회초,문성현,6 김영웅,10 (3-2),4구,무사 1루 6:2,"무사 1,2루 6:2",0.48,0.966,0.679,7.10%,0.017
04월 19일, 한화,7회초,이민우,6 김영웅,2 (0-1),중견수 방면 1루타,무사 0:5,무사 1루 0:5,0.35,0.537,0.421,95.40%,0.016
05월 14일, SSG,4회초,오원석,4 김영웅,4 (3-0),4구,2사 1루 0:4,"2사 1,2루 0:4",0.54,0.233,0.268,88.40%,0.015
05월 24일, 롯데,4회초,나균안,4 김영웅,9 (3-2),4구,2사 2루 5:3,"2사 1,2루 5:3",0.66,0.24,0.268,27.20%,0.015
05월 30일, 키움,2회말,이종민,5 김영웅,,1루주자 김영웅 : 2루 도루,1사 1루 0:1,1사 2루 0:1,1.04,0.554,0.231,67.40%,0.015
05월 18일, 한화,7회말,김규연,4 김영웅,5 (1-2),우익수 방면 1루타,1사 1루 5:7,"1사 1,2루 5:7",0.54,0.549,0.445,90.50%,0.015
04월 10일, 롯데,4회초,윌커슨,6 김영웅,9 (3-2),4구,2사 3루 1:4,"2사 1,3루 1:4",1.12,0.443,0.133,81.80%,0.015
04월 04일, 키움,3회말,후라도,9 김영웅,4 (1-2),중견수 방면 1루타,2사 2:0,2사 1루 2:0,0.46,0.111,0.115,29.30%,0.015
