Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04월 04일, NC,1회말,김시훈,1 박해민,5 (3-1),4구,무사 1:0,무사 1루 1:0,0.92,0.529,0.417,48.30%,0.038
04월 04일, NC,2회말,김시훈,1 박해민,6 (3-2),4구,1사 1루 6:3,"1사 1,2루 6:3",1.16,0.531,0.443,28.80%,0.038
03월 29일, 키움,5회초,후라도,1 박해민,1 (0-0),포수 방면 번트 내야 안타,1사 1루 1:0,"1사 1,2루 1:0",1.25,0.537,0.434,32.10%,0.037
03월 28일, 삼성,4회말,이승민,1 박해민,4 (1-2),중견수 방면 1루타,"2사 1,2루 0:4","2사 1,3루 0:5",0.5,0.486,1.073,94.90%,0.036
05월 12일, 롯데,1회초,홍민기,1 박해민,5 (2-2),중견수 방면 1루타,무사 0:0,무사 1루 0:0,0.87,0.555,0.421,46.50%,0.036
04월 28일, KIA,1회말,크로우,1 박해민,2 (0-1),2루수 방면 내야 안타,무사 3:0,무사 1루 3:0,0.83,0.546,0.42,29.80%,0.035
03월 27일, 삼성,1회말,원태인,1 박해민,1 (0-0),우익수 방면 1루타,무사 0:0,무사 1루 0:0,0.87,0.535,0.419,58.30%,0.035
03월 26일, 삼성,1회말,백정현,1 박해민,2 (0-1),좌익수 방면 1루타,무사 0:0,무사 1루 0:0,0.87,0.529,0.417,58.30%,0.035
04월 27일, KIA,1회말,황동하,1 박해민,3 (0-2),우익수 방면 1루타,무사 0:0,무사 1루 0:0,0.87,0.541,0.415,58.30%,0.035
04월 19일, SSG,5회초,한두솔,7 박해민,,1루주자 박해민 : 2루 도루,무사 1루 1:1,무사 2루 1:1,1.93,0.962,0.304,41.80%,0.035
05월 10일, 롯데,3회초,박세웅,1 박해민,6 (3-2),우익수 방면 1루타,무사 2:0,무사 1루 2:0,0.69,0.553,0.424,25.70%,0.027
04월 07일, KT,2회말,김민,2 박해민,5 (3-1),4구,무사 1루 0:3,"무사 1,2루 0:3",0.74,0.973,0.693,86.90%,0.027
04월 25일, 삼성,3회초,이호성,2 박해민,2 (0-1),중견수 방면 3루타,2사 1:0,2사 3루 1:0,0.41,0.108,0.313,39.70%,0.027
04월 25일, 삼성,9회초,김대우,2 박해민,1 (0-0),우중간 홈런,1사 1루 5:2,1사 7:2,0.18,0.538,1.738,0.70%,0.026
04월 27일, KIA,4회말,김사윤,1 박해민,5 (3-1),4구,"2사 1,2루 3:4",2사 만루 3:4,1.57,0.483,0.437,70.70%,0.026
04월 28일, KIA,3회말,크로우,1 박해민,,1루주자 박해민 : 2루 도루,"1사 1,3루 3:1","1사 2,3루 3:1",2.17,1.262,0.355,42.70%,0.026
05월 10일, 롯데,5회초,박세웅,1 박해민,1 (0-0),좌익수 방면 1루타,2사 2:1,2사 2루 2:1,0.47,0.113,0.278,37.60%,0.025
05월 11일, 롯데,1회초,윌커슨,2 박해민,6 (3-2),4구,1사 0:0,1사 1루 0:0,0.62,0.285,0.261,49.80%,0.024
04월 12일, 두산,1회초,곽빈,2 박해민,2 (1-0),사구,1사 0:0,1사 1루 0:0,0.62,0.293,0.259,49.80%,0.024
05월 19일, KT,1회초,성재헌,2 박해민,3 (1-1),중견수 방면 1루타,1사 0:0,1사 1루 0:0,0.62,0.293,0.261,49.80%,0.024
05월 16일, 키움,1회말,후라도,2 박해민,3 (0-2),좌익수 방면 1루타,1사 0:0,1사 1루 0:0,0.62,0.29,0.259,55.00%,0.024
05월 11일, 롯데,9회초,최준용,2 박해민,4 (1-2),좌익수 방면 1루타,무사 2:1,무사 1루 2:1,0.66,0.554,0.425,13.80%,0.024
05월 12일, 롯데,1회초,홍민기,1 박해민,,1루주자 박해민 : 폭투로 2루 진루,무사 1루 0:0,무사 2루 0:0,1.44,0.975,0.314,44.10%,0.024
05월 11일, 롯데,7회초,임준섭,2 박해민,6 (3-2),4구,무사 2:0,무사 1루 2:0,0.6,0.554,0.425,15.80%,0.023
04월 07일, KT,5회말,박세진,2 박해민,5 (3-2),4구,1사 1루 4:6,"1사 1,2루 4:6",0.75,0.546,0.453,83.80%,0.022
05월 25일, NC,6회말,신영우,3 박해민,5 (2-2),좌익수 방면 1루타,1사 만루 4:8,"1사 1,2루 4:10",0.44,1.77,1.222,98.90%,0.019
04월 17일, 롯데,6회말,임준섭,8 박해민,3 (1-1),사구,1사 1루 3:5,"1사 1,2루 3:5",0.68,0.556,0.438,86.80%,0.019
04월 10일, KIA,4회초,김건국,2 박해민,9 (3-2),우익수 방면 2루타,2사 3:1,2사 2루 3:1,0.34,0.107,0.276,27.90%,0.018
04월 05일, KT,6회말,이상동,1 박해민,,1루주자 박해민 : 2루 도루,2사 1루 7:6,2사 2루 7:6,1.49,0.229,0.163,36.40%,0.018
04월 06일, KT,1회말,벤자민,2 박해민,,1루주자 박해민 : 2루 도루,1사 1루 0:0,1사 2루 0:0,1.16,0.531,0.237,56.60%,0.016
04월 12일, 두산,1회초,곽빈,2 박해민,,1루주자 박해민 : 폭투로 2루 진루,1사 1루 0:0,1사 2루 0:0,1.15,0.552,0.246,48.20%,0.016
