Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05월 25일, 두산,6회말,박치국,4 나성범,1 (0-0),좌익수 방면 1루타,1사 1루 0:6,"1사 1,2루 0:6",0.06,0.547,0.439,98.90%,0.002
06월 01일, KT,8회말,이상동,3 나성범,7 (3-2),4구,2사 2루 2:4,"2사 1,2루 2:4",0.36,0.396,0.111,93.80%,0.002
05월 26일, 두산,7회말,김강률,3 나성범,7 (3-2),4구,2사 1:5,2사 1루 1:5,0.06,0.118,0.123,96.80%,0.002
05월 28일, NC,4회초,최성영,3 나성범,5 (3-1),4구,2사 8:1,2사 1루 8:1,0.05,0.12,0.125,3.10%,0.001
05월 04일, 한화,3회말,이충호,3 나성범,2 (1-0),좌익수 방면 2루타,1사 0:9,1사 2루 0:9,0.02,0.283,0.499,99.20%,0.001
05월 02일, KT,8회말,김민,4 나성범,2 (0-1),우익수 방면 1루타,1사 2루 12:3,"1사 1,3루 12:3",0.02,0.778,0.488,0.20%,0.001
05월 25일, 두산,4회말,이영하,4 나성범,3 (1-1),1루수 땅볼 아웃,"무사 1,2루 0:6","1사 2,3루 0:6",0.17,1.647,-0.058,97.90%,0
05월 04일, 한화,7회말,장민재,3 나성범,4 (1-2),헛스윙 삼진,2사 1루 0:10,이닝종료 0:10,0,0.229,-0.229,100.00%,0
05월 30일, NC,8회초,송명기,3 나성범,2 (0-1),중견수 플라이 아웃,1사 10:2,2사 10:2,0.01,0.298,-0.179,0.20%,0
05월 04일, 한화,5회말,김범수,3 나성범,5 (2-2),헛스윙 삼진,무사 0:10,1사 0:10,0.01,0.551,-0.268,99.80%,0
05월 01일, KT,6회말,주권,6 나성범,1 (0-0),1루수 땅볼 아웃,1사 1:9,2사 1:9,0.01,0.282,-0.171,99.60%,0
05월 21일, 롯데,9회초,전미르,4 나성범,6 (3-2),3루수 땅볼 아웃,2사 1:6,이닝종료 1:6,0.02,0.118,-0.118,100.00%,0
05월 25일, 두산,8회말,김호준,4 나성범,2 (0-1),2루수 병살타 아웃,1사 1루 1:6,이닝종료 1:6,0.02,0.547,-0.547,99.40%,-0.001
05월 28일, NC,9회초,전사민,3 나성범,5 (2-2),3루수 플라이 아웃,"2사 2,3루 11:6",이닝종료 11:6,0.06,0.611,-0.611,0.80%,-0.002
06월 02일, KT,6회말,쿠에바스,3 나성범,1 (0-0),2루수 땅볼 아웃,2사 1루 8:0,이닝종료 8:0,0.06,0.243,-0.243,0.40%,-0.002
06월 02일, KT,8회말,김민,3 나성범,1 (0-0),2루수 땅볼 아웃,"1사 1,3루 9:1",2사 2루 9:2,0.09,1.267,0.129,0.20%,-0.002
05월 15일, 두산,8회말,이교훈,3 나성범,4 (2-1),2루수 땅볼 아웃,1사 4:7,2사 4:7,0.08,0.29,-0.173,96.90%,-0.002
05월 26일, 두산,2회말,알칸타라,3 나성범,1 (0-0),우익수 플라이 아웃,2사 0:5,이닝종료 0:5,0.11,0.118,-0.118,90.90%,-0.003
05월 18일, NC,8회초,전사민,3 나성범,7 (3-2),2루수 땅볼 아웃,"2사 1,2루 7:2",이닝종료 7:2,0.12,0.506,-0.506,2.10%,-0.003
05월 26일, 두산,5회말,이교훈,3 나성범,3 (0-2),헛스윙 삼진,무사 0:5,1사 0:5,0.13,0.563,-0.269,95.90%,-0.003
05월 04일, 한화,1회말,이태양,3 나성범,6 (3-2),1루수 땅볼 아웃,"무사 1,2루 0:0","1사 2,3루 0:0",1.83,1.668,-0.055,63.30%,-0.004
