Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04월 04일, SSG,4회초,최민준,3 양의지,7 (2-2),3루수 땅볼 아웃,무사 0:0,1사 0:0,1.08,0.529,-0.258,52.70%,-0.027
03월 29일, KIA,1회말,이의리,3 양의지,4 (1-2),헛스윙 삼진,1사 1루 0:0,2사 1루 0:0,1.16,0.538,-0.311,52.20%,-0.028
04월 17일, 삼성,1회초,레예스,3 양의지,6 (2-2),선행주자아웃 출루,1사 1루 0:0,2사 1루 0:0,1.15,0.538,-0.311,52.60%,-0.028
04월 04일, SSG,1회초,김광현,3 양의지,4 (1-2),헛스윙 삼진,1사 1루 0:0,2사 1루 0:0,1.15,0.531,-0.31,52.60%,-0.028
04월 03일, SSG,1회초,오원석,3 양의지,4 (0-2),헛스윙 삼진,1사 1루 0:0,2사 1루 0:0,1.15,0.531,-0.31,52.60%,-0.028
06월 01일, LG,7회말,최동환,3 양의지,3 (1-1),유격수 땅볼 아웃,2사 2루 4:5,이닝종료 4:5,1.1,0.396,-0.396,74.80%,-0.031
05월 01일, 삼성,3회말,이호성,3 양의지,3 (1-1),유격수 플라이 아웃,1사 1루 1:1,2사 1루 1:1,1.31,0.543,-0.315,52.60%,-0.031
04월 23일, NC,5회말,신민혁,3 양의지,1 (0-0),2루수 플라이 아웃,2사 1루 1:1,이닝종료 1:1,1.11,0.223,-0.223,50.00%,-0.031
05월 15일, KIA,1회초,네일,4 양의지,5 (3-1),1루수 땅볼 아웃,2사 2루 0:0,이닝종료 0:0,1.12,0.393,-0.393,54.80%,-0.032
05월 08일, 키움,1회초,김인범,4 양의지,5 (2-2),유격수 땅볼 아웃,2사 2루 0:0,이닝종료 0:0,1.12,0.393,-0.393,54.80%,-0.032
05월 09일, 키움,5회초,후라도,4 양의지,6 (1-2),우익수 플라이 아웃,1사 2루 2:1,2사 3루 2:1,1.32,0.784,-0.352,37.10%,-0.032
04월 30일, 삼성,5회말,이승현,3 양의지,2 (0-1),선행주자아웃 출루,"2사 1,3루 0:2",이닝종료 0:2,1.17,0.574,-0.574,78.30%,-0.033
05월 15일, KIA,7회초,장현식,4 양의지,8 (3-2),중견수 희생플라이 아웃,"1사 2,3루 3:5",2사 3루 4:5,2.76,1.61,-0.167,71.90%,-0.035
05월 09일, 키움,1회초,후라도,4 양의지,6 (3-2),중견수 플라이 아웃,"1사 1,2루 0:0","2사 1,3루 0:0",1.93,0.999,-0.425,50.00%,-0.038
04월 21일, 키움,7회말,조상우,3 양의지,5 (2-2),2루수 플라이 아웃,무사 0:0,1사 0:0,1.51,0.542,-0.266,54.90%,-0.039
04월 03일, SSG,8회초,노경은,3 양의지,3 (1-1),우익수 플라이 아웃,1사 3:4,2사 3:4,1.57,0.271,-0.167,84.20%,-0.039
04월 05일, 롯데,5회초,이인복,3 양의지,3 (2-0),3루수 땅볼 아웃,1사 2루 2:2,2사 3루 2:2,1.66,0.778,-0.355,51.50%,-0.04
05월 31일, LG,3회말,손주영,3 양의지,4 (2-1),좌익수 플라이 아웃,2사 3루 3:1,이닝종료 3:1,1.48,0.423,-0.423,26.70%,-0.041
04월 05일, 롯데,3회초,이인복,3 양의지,1 (0-0),좌익수 희생플라이 아웃,무사 만루 0:1,"1사 1,2루 1:1",2.66,2.446,-0.453,45.70%,-0.041
04월 16일, 삼성,7회초,임창민,3 양의지,5 (3-1),좌익수 희생플라이 아웃,"1사 2,3루 4:7",2사 2루 5:7,2.08,1.604,-0.214,84.70%,-0.042
03월 28일, KT,5회초,이선우,3 양의지,2 (1-0),3루수 플라이 아웃,1사 2루 3:5,2사 2루 3:5,1.56,0.765,-0.38,77.70%,-0.044
05월 24일, KIA,1회초,황동하,4 양의지,1 (0-0),2루수 인필드플라이 아웃,"1사 1,2루 0:0","2사 1,2루 0:0",1.93,0.992,-0.484,50.60%,-0.044
05월 12일, KT,2회말,주권,4 양의지,5 (2-2),3루수 땅볼 출루,"1사 2,3루 2:5","2사 1,3루 2:5",0.78,1.616,-1.049,82.50%,-0.045
05월 02일, 삼성,9회말,오승환,4 양의지,4 (1-2),헛스윙 삼진,무사 4:2,1사 4:2,1.83,0.549,-0.267,4.40%,-0.047
05월 09일, 키움,8회초,김재웅,4 양의지,1 (0-0),2루수 플라이 아웃,무사 2:2,1사 2:2,1.85,0.551,-0.268,54.70%,-0.047
05월 17일, 롯데,7회말,윌커슨,4 양의지,3 (2-0),중견수 플라이 아웃,무사 1:0,1사 1:0,1.91,0.559,-0.268,31.10%,-0.049
05월 30일, KT,1회말,한차현,3 양의지,1 (0-0),3루수 병살타 아웃,1사 1루 0:0,이닝종료 0:0,1.16,0.554,-0.554,50.00%,-0.05
04월 27일, 한화,1회초,산체스,3 양의지,4 (1-2),2루수 병살타 아웃,1사 1루 0:0,이닝종료 0:0,1.15,0.535,-0.535,54.80%,-0.05
03월 28일, KT,3회초,원상현,3 양의지,3 (1-1),3루수 땅볼 아웃,무사 3루 1:1,1사 3루 1:1,1.21,1.542,-0.561,44.80%,-0.051
04월 11일, 한화,6회말,류현진,3 양의지,5 (2-2),우익수 플라이 아웃,1사 2루 2:0,2사 2루 2:0,1.91,0.792,-0.4,22.70%,-0.054
05월 08일, 키움,7회초,김재웅,4 양의지,3 (1-1),좌익수 플라이 아웃,"2사 1,3루 2:1",이닝종료 2:1,2.02,0.575,-0.575,36.00%,-0.056
05월 29일, KT,1회말,원상현,3 양의지,5 (3-1),유격수 병살타 아웃,"무사 1,3루 0:0",2사 0:1,1.54,1.881,-0.762,61.40%,-0.056
04월 05일, 롯데,7회초,최준용,3 양의지,3 (2-0),우익수 플라이 아웃,무사 1루 3:3,1사 1루 3:3,2.42,0.97,-0.424,49.70%,-0.056
06월 01일, LG,10회말,김대현,3 양의지,4 (1-2),유격수 플라이 아웃,무사 5:5,1사 5:5,2.26,0.567,-0.27,58.00%,-0.058
03월 28일, KT,9회초,박영현,3 양의지,6 (3-2),헛스윙 삼진,무사 6:6,1사 6:6,2.32,0.535,-0.26,55.90%,-0.059
04월 12일, LG,6회말,켈리,3 양의지,5 (2-2),헛스윙 삼진,1사 3루 0:1,2사 3루 0:1,1.42,1.018,-0.583,73.40%,-0.06
05월 31일, LG,6회말,손주영,3 양의지,2 (1-0),1루수 플라이 아웃,"무사 1,2루 4:1","1사 1,2루 4:1",2.77,1.681,-0.685,21.00%,-0.072
04월 12일, LG,9회말,유영찬,3 양의지,4 (1-2),우익수 플라이 아웃,무사 2:1,1사 2:1,3.47,0.562,-0.269,11.20%,-0.088
05월 12일, KT,1회말,벤자민,4 양의지,1 (0-0),3루수 병살타 아웃,"1사 1,3루 2:0",이닝종료 2:0,1.88,1.262,-1.262,29.90%,-0.117
04월 24일, NC,9회말,이용찬,6 양의지,4 (1-2),2루수 인필드플라이 아웃,1사 만루 3:1,2사 만루 3:1,7.38,1.681,-0.758,17.40%,-0.155
05월 08일, 키움,5회초,김성민,4 양의지,2 (1-0),2루수 병살타 아웃,"1사 1,3루 1:1",이닝종료 1:1,2.49,1.257,-1.257,56.60%,-0.156
06월 07일, 한화,7회말,김범수,3 양의지,2 (0-1),좌익수 방면 1루타,2사 만루 3:1,"2사 1,3루 3:3",5.28,0.944,1.592,58.80%,0.32
05월 25일, 삼성,10회말,오승환,8 양의지,2 (1-0),좌익수 방면 2루타,무사 3:2,무사 2루 3:2,3.47,0.523,0.726,44.40%,0.244
04월 11일, 키움,7회말,문성현,5 양의지,2 (0-1),우익수 방면 2루타,1사 만루 3:3,"1사 2,3루 3:5",3.98,1.665,1.913,92.90%,0.192
08월 01일, 한화,8회초,강재민,4 양의지,1 (0-0),좌중간 홈런,1사 1루 2:1,1사 4:1,1.19,0.53,1.736,7.60%,0.175
04월 20일, 한화,3회초,김민우,4 양의지,4 (2-1),좌익수 뒤 홈런,1사 1루 2:1,1사 4:1,1.14,0.53,1.736,21.50%,0.169
09월 22일, 삼성,3회초,최채흥,4 양의지,2 (0-1),우익수 방면 2루타,"2사 2,3루 1:0",2사 2루 3:0,1.94,0.634,1.739,21.10%,0.166
09월 14일, SSG,9회말,서진용,4 양의지,1 (0-0),사구,무사 1루 2:0,"무사 1,2루 2:0",3.46,0.94,0.683,32.60%,0.143
10월 03일, 키움,3회말,이종민,4 양의지,6 (2-2),중견수 방면 2루타,"1사 1,3루 2:0","1사 2,3루 2:1",2.17,1.258,1.32,54.00%,0.139
06월 09일, KIA,5회말,메디나,3 양의지,6 (2-2),좌익수 뒤 홈런,1사 4:2,1사 4:3,0.87,0.266,1,37.80%,0.126
09월 27일, SSG,7회초,고효준,4 양의지,9 (3-2),4구,2사 만루 1:3,2사 만루 2:3,4.64,0.944,1,64.90%,0.122
10월 19일, NC,5회초,이재학,4 양의지,4 (1-2),중견수 방면 1루타,"무사 1,2루 3:5","무사 1,2루 4:5",2.68,1.623,1,50.90%,0.122
06월 25일, 키움,1회초,맥키니,4 양의지,4 (2-1),중견수 방면 1루타,"1사 1,2루 0:0","1사 1,3루 1:0",1.93,0.977,1.281,34.30%,0.12
07월 12일, SSG,8회초,노경은,4 양의지,2 (0-1),좌익수 뒤 홈런,무사 2:1,무사 3:1,0.9,0.523,1,13.40%,0.118
05월 16일, 키움,8회초,김동혁,3 양의지,10 (3-2),좌익수 뒤 홈런,무사 2:1,무사 3:1,0.9,0.523,1,13.40%,0.118
06월 30일, 롯데,9회초,김원중,4 양의지,2 (0-1),좌익수 방면 1루타,무사 1루 0:0,"무사 1,2루 0:0",3.44,0.94,0.683,30.20%,0.117
10월 07일, 롯데,6회말,윌커슨,4 양의지,2 (1-0),좌중간 홈런,"무사 2,3루 5:0",무사 5:3,1.37,2.057,1.465,25.50%,0.115
04월 23일, KT,7회말,고영표,5 양의지,6 (2-2),우익수 방면 1루타,무사 1루 1:0,"무사 1,2루 1:0",3.09,0.94,0.683,54.80%,0.112
07월 01일, 롯데,1회초,반즈,4 양의지,1 (0-0),우익수 방면 2루타,2사 1루 0:0,2사 2루 1:0,0.79,0.215,1.158,41.60%,0.11
08월 04일, KT,3회말,배제성,4 양의지,5 (2-2),우익수 방면 1루타,2사 2루 1:1,2사 1루 1:2,1.32,0.373,0.842,64.70%,0.109
10월 12일, NC,3회말,이재학,4 양의지,4 (1-2),좌중간 홈런,"무사 1,2루 1:3",무사 1:6,1.18,1.623,1.899,93.50%,0.108
06월 10일, KIA,3회말,이의리,3 양의지,4 (3-0),4구,1사 만루 2:1,1사 만루 2:2,3.15,1.665,1,66.20%,0.107
05월 11일, 롯데,3회초,나균안,3 양의지,2 (0-1),좌익수 방면 1루타,"2사 1,3루 1:2","2사 1,2루 2:2",2.06,0.536,0.948,50.70%,0.107
09월 03일, 롯데,8회초,구승민,4 양의지,1 (0-0),중견수 방면 1루타,"1사 1,2루 1:0","1사 1,2루 2:0",1.87,0.977,1,11.50%,0.102
